year,age_group,sex,education_category,education_type,region,value
2019,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,80.2
2020,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,67.4
2021,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,72.7
2023,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,79.1
2019,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,76.5
2020,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,75.2
2021,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,72.5
2022,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,88.3
2023,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,72.6
2024,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,84.3
2019,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,77.6
2020,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,73.0
2021,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,75.0
2022,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,88.0
2023,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,90.4
2024,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,82.6
2019,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,76.6
2020,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,77.4
2021,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,72.4
2022,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,77.8
2023,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,85.6
2024,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,83.0
2019,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,79.6
2020,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,75.9
2021,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,76.2
2022,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,73.6
2023,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,80.6
2024,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,72.8
2019,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,74.2
2020,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,66.6
2021,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,75.3
2022,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,69.0
2023,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,67.7
2024,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,74.1
2019,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,60.1
2020,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,57.9
2021,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,60.9
2022,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,63.7
2023,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,75.3
2024,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,65.5
2019,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,73.1
2020,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,66.3
2021,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,71.1
2022,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,73.7
2023,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,76.9
2024,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,73.8
2019,20 - 24 years,Female,All Levels,all,Northern and Western,61.8
2020,20 - 24 years,Female,All Levels,all,Northern and Western,48.2
2021,20 - 24 years,Female,All Levels,all,Northern and Western,69.9
2022,20 - 24 years,Female,All Levels,all,Northern and Western,66.9
2023,20 - 24 years,Female,All Levels,all,Northern and Western,67.5
2024,20 - 24 years,Female,All Levels,all,Northern and Western,67.4
2019,25 - 29 years,Female,All Levels,all,Northern and Western,71.8
2020,25 - 29 years,Female,All Levels,all,Northern and Western,67.3
2021,25 - 29 years,Female,All Levels,all,Northern and Western,60.5
2022,25 - 29 years,Female,All Levels,all,Northern and Western,79.9
2023,25 - 29 years,Female,All Levels,all,Northern and Western,66.8
2024,25 - 29 years,Female,All Levels,all,Northern and Western,77.9
2019,30 - 34 years,Female,All Levels,all,Northern and Western,75.2
2020,30 - 34 years,Female,All Levels,all,Northern and Western,68.3
2021,30 - 34 years,Female,All Levels,all,Northern and Western,72.0
2022,30 - 34 years,Female,All Levels,all,Northern and Western,83.0
2023,30 - 34 years,Female,All Levels,all,Northern and Western,76.7
2024,30 - 34 years,Female,All Levels,all,Northern and Western,75.5
2019,35 - 39 years,Female,All Levels,all,Northern and Western,70.9
2020,35 - 39 years,Female,All Levels,all,Northern and Western,73.1
2021,35 - 39 years,Female,All Levels,all,Northern and Western,73.1
2022,35 - 39 years,Female,All Levels,all,Northern and Western,80.3
2023,35 - 39 years,Female,All Levels,all,Northern and Western,71.8
2024,35 - 39 years,Female,All Levels,all,Northern and Western,85.7
2019,40 - 44 years,Female,All Levels,all,Northern and Western,73.2
2020,40 - 44 years,Female,All Levels,all,Northern and Western,70.8
2021,40 - 44 years,Female,All Levels,all,Northern and Western,74.6
2022,40 - 44 years,Female,All Levels,all,Northern and Western,83.3
2023,40 - 44 years,Female,All Levels,all,Northern and Western,79.2
2024,40 - 44 years,Female,All Levels,all,Northern and Western,79.1
2019,45 - 49 years,Female,All Levels,all,Northern and Western,73.9
2020,45 - 49 years,Female,All Levels,all,Northern and Western,73.1
2021,45 - 49 years,Female,All Levels,all,Northern and Western,72.9
2022,45 - 49 years,Female,All Levels,all,Northern and Western,73.8
2023,45 - 49 years,Female,All Levels,all,Northern and Western,79.8
2024,45 - 49 years,Female,All Levels,all,Northern and Western,82.8
2019,50 - 54 years,Female,All Levels,all,Northern and Western,67.6
2020,50 - 54 years,Female,All Levels,all,Northern and Western,71.7
2021,50 - 54 years,Female,All Levels,all,Northern and Western,76.5
2022,50 - 54 years,Female,All Levels,all,Northern and Western,72.7
2023,50 - 54 years,Female,All Levels,all,Northern and Western,77.1
2024,50 - 54 years,Female,All Levels,all,Northern and Western,75.1
2019,55 - 59 years,Female,All Levels,all,Northern and Western,64.0
2020,55 - 59 years,Female,All Levels,all,Northern and Western,58.9
2021,55 - 59 years,Female,All Levels,all,Northern and Western,68.4
2022,55 - 59 years,Female,All Levels,all,Northern and Western,71.8
2023,55 - 59 years,Female,All Levels,all,Northern and Western,70.3
2024,55 - 59 years,Female,All Levels,all,Northern and Western,77.3
2019,60 - 64 years,Female,All Levels,all,Northern and Western,47.7
2020,60 - 64 years,Female,All Levels,all,Northern and Western,43.5
2021,60 - 64 years,Female,All Levels,all,Northern and Western,53.9
2022,60 - 64 years,Female,All Levels,all,Northern and Western,42.9
2023,60 - 64 years,Female,All Levels,all,Northern and Western,59.8
2024,60 - 64 years,Female,All Levels,all,Northern and Western,47.8
2019,All ages,Female,All Levels,all,Northern and Western,67.8
2020,All ages,Female,All Levels,all,Northern and Western,64.6
2021,All ages,Female,All Levels,all,Northern and Western,69.7
2022,All ages,Female,All Levels,all,Northern and Western,73.2
2023,All ages,Female,All Levels,all,Northern and Western,72.7
2024,All ages,Female,All Levels,all,Northern and Western,74.9
2019,45 - 49 years,Female,Primary & Lower Secondary,detailed,Northern and Western,47.0
2019,50 - 54 years,Female,Primary & Lower Secondary,detailed,Northern and Western,39.7
2020,50 - 54 years,Female,Primary & Lower Secondary,detailed,Northern and Western,39.3
2019,55 - 59 years,Female,Primary & Lower Secondary,detailed,Northern and Western,41.6
2020,55 - 59 years,Female,Primary & Lower Secondary,detailed,Northern and Western,39.4
2019,60 - 64 years,Female,Primary & Lower Secondary,detailed,Northern and Western,31.5
2020,60 - 64 years,Female,Primary & Lower Secondary,detailed,Northern and Western,30.6
2019,All ages,Female,Primary & Lower Secondary,detailed,Northern and Western,36.2
2020,All ages,Female,Primary & Lower Secondary,detailed,Northern and Western,32.8
2021,All ages,Female,Primary & Lower Secondary,detailed,Northern and Western,33.5
2023,All ages,Female,Primary & Lower Secondary,detailed,Northern and Western,40.0
2019,20 - 24 years,Female,Tertiary,detailed,Northern and Western,77.0
2020,20 - 24 years,Female,Tertiary,detailed,Northern and Western,68.0
2019,25 - 29 years,Female,Tertiary,detailed,Northern and Western,77.9
2020,25 - 29 years,Female,Tertiary,detailed,Northern and Western,77.3
2023,25 - 29 years,Female,Tertiary,detailed,Northern and Western,66.7
2019,30 - 34 years,Female,Tertiary,detailed,Northern and Western,83.0
2020,30 - 34 years,Female,Tertiary,detailed,Northern and Western,79.4
2021,30 - 34 years,Female,Tertiary,detailed,Northern and Western,89.0
2022,30 - 34 years,Female,Tertiary,detailed,Northern and Western,92.5
2023,30 - 34 years,Female,Tertiary,detailed,Northern and Western,89.5
2019,35 - 39 years,Female,Tertiary,detailed,Northern and Western,79.3
2020,35 - 39 years,Female,Tertiary,detailed,Northern and Western,80.3
2021,35 - 39 years,Female,Tertiary,detailed,Northern and Western,81.3
2022,35 - 39 years,Female,Tertiary,detailed,Northern and Western,81.3
2023,35 - 39 years,Female,Tertiary,detailed,Northern and Western,80.5
2024,35 - 39 years,Female,Tertiary,detailed,Northern and Western,86.1
2019,40 - 44 years,Female,Tertiary,detailed,Northern and Western,83.9
2020,40 - 44 years,Female,Tertiary,detailed,Northern and Western,81.4
2021,40 - 44 years,Female,Tertiary,detailed,Northern and Western,86.3
2022,40 - 44 years,Female,Tertiary,detailed,Northern and Western,85.9
2023,40 - 44 years,Female,Tertiary,detailed,Northern and Western,84.9
2024,40 - 44 years,Female,Tertiary,detailed,Northern and Western,82.2
2019,45 - 49 years,Female,Tertiary,detailed,Northern and Western,83.3
2020,45 - 49 years,Female,Tertiary,detailed,Northern and Western,83.2
2021,45 - 49 years,Female,Tertiary,detailed,Northern and Western,91.6
2022,45 - 49 years,Female,Tertiary,detailed,Northern and Western,86.8
2023,45 - 49 years,Female,Tertiary,detailed,Northern and Western,86.2
2024,45 - 49 years,Female,Tertiary,detailed,Northern and Western,91.7
2019,50 - 54 years,Female,Tertiary,detailed,Northern and Western,80.4
2020,50 - 54 years,Female,Tertiary,detailed,Northern and Western,88.9
2021,50 - 54 years,Female,Tertiary,detailed,Northern and Western,89.6
2022,50 - 54 years,Female,Tertiary,detailed,Northern and Western,84.2
2023,50 - 54 years,Female,Tertiary,detailed,Northern and Western,77.6
2024,50 - 54 years,Female,Tertiary,detailed,Northern and Western,82.7
2019,55 - 59 years,Female,Tertiary,detailed,Northern and Western,74.0
2020,55 - 59 years,Female,Tertiary,detailed,Northern and Western,64.4
2021,55 - 59 years,Female,Tertiary,detailed,Northern and Western,77.5
2022,55 - 59 years,Female,Tertiary,detailed,Northern and Western,85.0
2023,55 - 59 years,Female,Tertiary,detailed,Northern and Western,85.6
2024,55 - 59 years,Female,Tertiary,detailed,Northern and Western,89.1
2019,60 - 64 years,Female,Tertiary,detailed,Northern and Western,55.2
2020,60 - 64 years,Female,Tertiary,detailed,Northern and Western,52.1
2021,60 - 64 years,Female,Tertiary,detailed,Northern and Western,59.6
2019,All ages,Female,Tertiary,detailed,Northern and Western,78.9
2020,All ages,Female,Tertiary,detailed,Northern and Western,77.6
2021,All ages,Female,Tertiary,detailed,Northern and Western,83.0
2022,All ages,Female,Tertiary,detailed,Northern and Western,82.9
2023,All ages,Female,Tertiary,detailed,Northern and Western,80.2
2024,All ages,Female,Tertiary,detailed,Northern and Western,83.2
2019,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,59.2
2020,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,41.0
2023,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,67.2
2024,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,65.1
2019,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,68.5
2020,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,52.7
2019,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,70.2
2020,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,57.4
2019,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,64.7
2020,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,67.4
2019,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,68.5
2020,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,55.1
2021,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,63.8
2022,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,84.5
2019,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,69.5
2020,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,68.1
2023,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,77.8
2019,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,68.1
2020,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,64.9
2021,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,71.9
2022,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,63.2
2023,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,76.1
2024,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,72.5
2019,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,67.1
2020,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,61.0
2021,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,72.0
2022,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,64.9
2023,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,59.2
2024,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,70.6
2019,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,53.7
2020,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,47.4
2021,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,52.8
2023,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,70.2
2019,All ages,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,65.1
2020,All ages,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,56.9
2021,All ages,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,61.5
2022,All ages,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,68.5
2023,All ages,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,70.2
2024,All ages,Female,Upper Secondary & Post-secondary,detailed,Northern and Western,67.0
2019,20 - 24 years,Male,All Levels,all,Northern and Western,63.5
2020,20 - 24 years,Male,All Levels,all,Northern and Western,52.0
2021,20 - 24 years,Male,All Levels,all,Northern and Western,69.3
2022,20 - 24 years,Male,All Levels,all,Northern and Western,61.0
2023,20 - 24 years,Male,All Levels,all,Northern and Western,70.4
2024,20 - 24 years,Male,All Levels,all,Northern and Western,72.3
2019,25 - 29 years,Male,All Levels,all,Northern and Western,83.7
2020,25 - 29 years,Male,All Levels,all,Northern and Western,72.6
2021,25 - 29 years,Male,All Levels,all,Northern and Western,80.9
2022,25 - 29 years,Male,All Levels,all,Northern and Western,86.6
2023,25 - 29 years,Male,All Levels,all,Northern and Western,79.5
2024,25 - 29 years,Male,All Levels,all,Northern and Western,77.9
2019,30 - 34 years,Male,All Levels,all,Northern and Western,88.2
2020,30 - 34 years,Male,All Levels,all,Northern and Western,82.0
2021,30 - 34 years,Male,All Levels,all,Northern and Western,95.8
2022,30 - 34 years,Male,All Levels,all,Northern and Western,81.5
2023,30 - 34 years,Male,All Levels,all,Northern and Western,85.3
2024,30 - 34 years,Male,All Levels,all,Northern and Western,83.9
2019,35 - 39 years,Male,All Levels,all,Northern and Western,86.4
2020,35 - 39 years,Male,All Levels,all,Northern and Western,83.1
2021,35 - 39 years,Male,All Levels,all,Northern and Western,89.1
2022,35 - 39 years,Male,All Levels,all,Northern and Western,95.0
2023,35 - 39 years,Male,All Levels,all,Northern and Western,91.1
2024,35 - 39 years,Male,All Levels,all,Northern and Western,82.5
2019,40 - 44 years,Male,All Levels,all,Northern and Western,86.4
2020,40 - 44 years,Male,All Levels,all,Northern and Western,88.3
2021,40 - 44 years,Male,All Levels,all,Northern and Western,85.7
2022,40 - 44 years,Male,All Levels,all,Northern and Western,89.7
2023,40 - 44 years,Male,All Levels,all,Northern and Western,89.9
2024,40 - 44 years,Male,All Levels,all,Northern and Western,90.7
2019,45 - 49 years,Male,All Levels,all,Northern and Western,84.5
2020,45 - 49 years,Male,All Levels,all,Northern and Western,86.8
2021,45 - 49 years,Male,All Levels,all,Northern and Western,87.0
2022,45 - 49 years,Male,All Levels,all,Northern and Western,87.9
2023,45 - 49 years,Male,All Levels,all,Northern and Western,87.7
2024,45 - 49 years,Male,All Levels,all,Northern and Western,93.0
2019,50 - 54 years,Male,All Levels,all,Northern and Western,86.4
2020,50 - 54 years,Male,All Levels,all,Northern and Western,83.3
2021,50 - 54 years,Male,All Levels,all,Northern and Western,83.2
2022,50 - 54 years,Male,All Levels,all,Northern and Western,92.0
2023,50 - 54 years,Male,All Levels,all,Northern and Western,88.6
2024,50 - 54 years,Male,All Levels,all,Northern and Western,84.6
2019,55 - 59 years,Male,All Levels,all,Northern and Western,77.2
2020,55 - 59 years,Male,All Levels,all,Northern and Western,75.3
2021,55 - 59 years,Male,All Levels,all,Northern and Western,80.1
2022,55 - 59 years,Male,All Levels,all,Northern and Western,81.0
2023,55 - 59 years,Male,All Levels,all,Northern and Western,82.0
2024,55 - 59 years,Male,All Levels,all,Northern and Western,74.0
2019,60 - 64 years,Male,All Levels,all,Northern and Western,63.4
2020,60 - 64 years,Male,All Levels,all,Northern and Western,67.3
2021,60 - 64 years,Male,All Levels,all,Northern and Western,68.1
2022,60 - 64 years,Male,All Levels,all,Northern and Western,75.5
2023,60 - 64 years,Male,All Levels,all,Northern and Western,76.9
2024,60 - 64 years,Male,All Levels,all,Northern and Western,74.5
2019,All ages,Male,All Levels,all,Northern and Western,80.3
2020,All ages,Male,All Levels,all,Northern and Western,77.4
2021,All ages,Male,All Levels,all,Northern and Western,82.4
2022,All ages,Male,All Levels,all,Northern and Western,83.9
2023,All ages,Male,All Levels,all,Northern and Western,83.9
2024,All ages,Male,All Levels,all,Northern and Western,81.9
2019,35 - 39 years,Male,Primary & Lower Secondary,detailed,Northern and Western,68.5
2019,40 - 44 years,Male,Primary & Lower Secondary,detailed,Northern and Western,66.6
2020,40 - 44 years,Male,Primary & Lower Secondary,detailed,Northern and Western,74.8
2019,45 - 49 years,Male,Primary & Lower Secondary,detailed,Northern and Western,72.7
2020,45 - 49 years,Male,Primary & Lower Secondary,detailed,Northern and Western,73.6
2019,50 - 54 years,Male,Primary & Lower Secondary,detailed,Northern and Western,73.0
2020,50 - 54 years,Male,Primary & Lower Secondary,detailed,Northern and Western,71.4
2019,55 - 59 years,Male,Primary & Lower Secondary,detailed,Northern and Western,68.9
2020,55 - 59 years,Male,Primary & Lower Secondary,detailed,Northern and Western,69.5
2021,55 - 59 years,Male,Primary & Lower Secondary,detailed,Northern and Western,72.3
2022,55 - 59 years,Male,Primary & Lower Secondary,detailed,Northern and Western,79.6
2019,60 - 64 years,Male,Primary & Lower Secondary,detailed,Northern and Western,63.3
2020,60 - 64 years,Male,Primary & Lower Secondary,detailed,Northern and Western,64.0
2021,60 - 64 years,Male,Primary & Lower Secondary,detailed,Northern and Western,60.2
2022,60 - 64 years,Male,Primary & Lower Secondary,detailed,Northern and Western,68.6
2019,All ages,Male,Primary & Lower Secondary,detailed,Northern and Western,66.8
2020,All ages,Male,Primary & Lower Secondary,detailed,Northern and Western,66.5
2021,All ages,Male,Primary & Lower Secondary,detailed,Northern and Western,69.3
2022,All ages,Male,Primary & Lower Secondary,detailed,Northern and Western,72.8
2023,All ages,Male,Primary & Lower Secondary,detailed,Northern and Western,71.4
2024,All ages,Male,Primary & Lower Secondary,detailed,Northern and Western,64.6
2019,20 - 24 years,Male,Tertiary,detailed,Northern and Western,74.3
2020,20 - 24 years,Male,Tertiary,detailed,Northern and Western,58.8
2019,25 - 29 years,Male,Tertiary,detailed,Northern and Western,86.9
2020,25 - 29 years,Male,Tertiary,detailed,Northern and Western,74.7
2023,25 - 29 years,Male,Tertiary,detailed,Northern and Western,91.0
2019,30 - 34 years,Male,Tertiary,detailed,Northern and Western,94.4
2020,30 - 34 years,Male,Tertiary,detailed,Northern and Western,90.2
2021,30 - 34 years,Male,Tertiary,detailed,Northern and Western,100.0
2022,30 - 34 years,Male,Tertiary,detailed,Northern and Western,96.9
2023,30 - 34 years,Male,Tertiary,detailed,Northern and Western,87.7
2019,35 - 39 years,Male,Tertiary,detailed,Northern and Western,91.9
2020,35 - 39 years,Male,Tertiary,detailed,Northern and Western,90.4
2021,35 - 39 years,Male,Tertiary,detailed,Northern and Western,94.3
2022,35 - 39 years,Male,Tertiary,detailed,Northern and Western,100.0
2023,35 - 39 years,Male,Tertiary,detailed,Northern and Western,99.3
2024,35 - 39 years,Male,Tertiary,detailed,Northern and Western,81.6
2019,40 - 44 years,Male,Tertiary,detailed,Northern and Western,95.4
2020,40 - 44 years,Male,Tertiary,detailed,Northern and Western,93.5
2021,40 - 44 years,Male,Tertiary,detailed,Northern and Western,96.1
2022,40 - 44 years,Male,Tertiary,detailed,Northern and Western,94.2
2023,40 - 44 years,Male,Tertiary,detailed,Northern and Western,93.4
2024,40 - 44 years,Male,Tertiary,detailed,Northern and Western,95.3
2019,45 - 49 years,Male,Tertiary,detailed,Northern and Western,94.4
2020,45 - 49 years,Male,Tertiary,detailed,Northern and Western,93.3
2021,45 - 49 years,Male,Tertiary,detailed,Northern and Western,86.6
2022,45 - 49 years,Male,Tertiary,detailed,Northern and Western,94.6
2023,45 - 49 years,Male,Tertiary,detailed,Northern and Western,84.8
2024,45 - 49 years,Male,Tertiary,detailed,Northern and Western,95.3
2019,50 - 54 years,Male,Tertiary,detailed,Northern and Western,94.6
2020,50 - 54 years,Male,Tertiary,detailed,Northern and Western,87.2
2021,50 - 54 years,Male,Tertiary,detailed,Northern and Western,95.4
2022,50 - 54 years,Male,Tertiary,detailed,Northern and Western,100.0
2023,50 - 54 years,Male,Tertiary,detailed,Northern and Western,94.5
2024,50 - 54 years,Male,Tertiary,detailed,Northern and Western,90.2
2019,55 - 59 years,Male,Tertiary,detailed,Northern and Western,81.9
2020,55 - 59 years,Male,Tertiary,detailed,Northern and Western,83.4
2021,55 - 59 years,Male,Tertiary,detailed,Northern and Western,89.2
2022,55 - 59 years,Male,Tertiary,detailed,Northern and Western,97.7
2023,55 - 59 years,Male,Tertiary,detailed,Northern and Western,87.3
2024,55 - 59 years,Male,Tertiary,detailed,Northern and Western,81.9
2019,60 - 64 years,Male,Tertiary,detailed,Northern and Western,54.7
2020,60 - 64 years,Male,Tertiary,detailed,Northern and Western,68.8
2021,60 - 64 years,Male,Tertiary,detailed,Northern and Western,77.4
2024,60 - 64 years,Male,Tertiary,detailed,Northern and Western,86.2
2019,All ages,Male,Tertiary,detailed,Northern and Western,88.4
2020,All ages,Male,Tertiary,detailed,Northern and Western,85.3
2021,All ages,Male,Tertiary,detailed,Northern and Western,90.1
2022,All ages,Male,Tertiary,detailed,Northern and Western,94.0
2023,All ages,Male,Tertiary,detailed,Northern and Western,89.6
2024,All ages,Male,Tertiary,detailed,Northern and Western,88.7
2019,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,63.8
2020,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,51.8
2021,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,70.8
2022,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,57.6
2023,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,71.0
2024,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,73.0
2019,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,82.1
2020,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,73.6
2019,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,88.5
2020,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,77.3
2019,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,87.1
2020,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,81.1
2023,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,82.0
2019,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,85.7
2020,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,86.4
2021,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,85.5
2022,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,91.2
2023,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,92.6
2019,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,83.8
2020,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,88.4
2021,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,87.5
2022,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,86.6
2023,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,90.3
2024,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,91.2
2019,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,90.3
2020,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,89.3
2021,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,80.2
2022,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,85.8
2023,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,85.4
2024,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,73.2
2019,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,83.6
2020,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,74.1
2021,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,79.0
2022,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,73.6
2023,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,82.5
2024,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,77.9
2019,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Northern and Western,69.0
